valid,urgent,aircraft,report,turbulence,atrcc,fl,lat,lon
2008-01-17 02:56:00+00:00,T,CRJ,BUR UUA /OV BUR/TM 0256/FL018/TP CRJ/TB MOD-SEV 018-SFC/RM +/- 10KT AS. COR FORMAT. ZLA CWSU,MOD-SEV 018-SFC,ZLA,1800,34.20067,-118.35867
2008-01-17 02:56:00+00:00,T,CRJ,BUR UUA /OV BUR /TM 0256 /FL018 /TP CRJ /TB SEV /RM MOD-SEV TURB 018-SFC +/- 10KTAS,SEV,ZLA,1800,34.20067,-118.35867
2008-01-17 02:56:00+00:00,T,CRJ,BUR UUA /OV BUR/TM 0256/FL018/TP CRJ/TB MOD-SEV 018-SFC/RM +/- 10KTAS. COR FORMAT. ZLA CWSU,MOD-SEV 018-SFC,ZLA,1800,34.20067,-118.35867
2008-02-14 17:13:00+00:00,T,PA31,BUR UUA /OV BUR360008 /TM 1713 /FL070 /TP PA31 /TB SEV,SEV,ZLA,7000,34.334014133344134,-118.35867
2008-02-14 17:13:00+00:00,T,PA31,VNY UUA /OV BUR360008 /TM 1713 /FL070 /TP PA31 /TB SEV,SEV,ZLA,7000,34.334014133344134,-118.35867
2008-02-14 17:13:00+00:00,T,PA31,WHP UUA /OV BUR360008 /TM 1713 /FL070 /TP PA31 /TB SEV,SEV,ZLA,7000,34.334014133344134,-118.35867
2008-02-15 01:44:00+00:00,T,B737,VNY UUA /OV BUR270005 /TM 0144 /FL060 /TP B737 /TB MOD-SEV,MOD-SEV,ZLA,6000,34.20067,-118.4594349656512
2008-02-15 15:10:00+00:00,T,DHC8,WHP UUA /OV BUR360005 /TM 1510 /FL070 /TP DHC8 /TB MOD-SEV,MOD-SEV,ZLA,7000,34.284010083340085,-118.35867
2008-03-02 15:41:00+00:00,T,C182,EMT UUA /OV BUR090010/TM 1541/FL085/TP C182/TB MOD-SEV/RM COR SA-ID.ZLA CWSU,MOD-SEV,ZLA,8500,34.20067,-118.1571400686976
2008-03-02 15:41:00+00:00,T,C182,EMT UUA /OV BUR090010/TM 1541/FL085/TP C182/TB MOD-SEV/RM COR SA-ID. ZLA CWSU,MOD-SEV,ZLA,8500,34.20067,-118.1571400686976
2008-03-02 15:41:00+00:00,T,C182,MWS UUA /OV BUR090010 /TM 1541 /FL085 /TP C182 /TB MOD-SEV,MOD-SEV,ZLA,8500,34.20067,-118.1571400686976
2008-03-02 22:24:00+00:00,T,C210,BUR UUA /OV BUR /TM 2224 /FL110 /TP C210 /TB SEV /RM MOD-SEV 110-060 DURD BUR-CCB SMTH L17-BUR,SEV,ZLA,11000,34.20067,-118.35867
