valid,urgent,aircraft,report,icing,turbulence,atrcc,product_id,fl,lat,lon
2018-12-31 21:44:00+00:00,F,C25B,LAX UA /OV LAX090010/TM 2144/FL9000/TP C25B/TA M01/IC LGT RIME,LGT RIME,,ZLA,,90000,33.93816,-118.18562353512846
2019-01-08 22:20:00+00:00,F,DA40,EMT UA /OV /OV EMT /TM 2220/FL500/TP DA40/SK CLR/WX 10 /TA 23/WV 14007,,,ZLA,,50000,34.086,-118.035
2019-01-14 16:35:00+00:00,F,B350,LAX UA /OV SLI260005/TM 1635/FL9000/TP B350/TA M02/TB MOD/IC MOD RIME,MOD RIME,MOD,ZLA,,90000,33.775528146401385,-118.1507556038951
2019-01-16 01:35:00+00:00,T,E135,BUR UUA /OV BUR/TM 0135/FL800/TP E135/RM LLWS -15KT RY8 DURD,,,ZLA,,80000,34.20067,-118.35867
2019-01-21 21:20:00+00:00,T,R22,EMT UUA /OV EMT/OV/TM 2120/FL500/TP R22/SK CLR/WX 10/TA 16/WV 27012G22/RM LOSS OF 10KTS SHORT FINAL,,,ZLA,,50000,34.086,-118.035
2019-01-21 21:43:00+00:00,F,C172,LAX UA /OV SMO250012/TM 2143/FL5600/TP C172/TB MOD,,MOD,ZLA,,56000,33.952590430603,-118.67384926054388
2019-01-22 00:37:00+00:00,F,C182,LAX UA /OV 5N OF LAX/TM 0037/FL6000/TP C182/TB SEVER/RM UP AND DOWN DRAFTS UP TO 500FT 20KTS LOSS,,SEVER,ZLA,,60000,34.02150008334009,-118.38653
2019-01-22 00:37:00+00:00,F,C182,LAX UA /OV LAX/TM 0037/FL6000/TP C182/TB SEVERE,,SEVERE,ZLA,,60000,33.93816,-118.38653
2019-02-02 17:55:00+00:00,F,B737,LAX UA /OV LAX/TM 1755/FL5000/TP B737/TB MOD/RM LAX DEPT OVER SLI EXPECT MOD TURB,,MOD,ZLA,,50000,33.93816,-118.38653
2019-02-02 19:11:00+00:00,F,A320,LAX UA /OV LAX/TM 1911/FL6000/TP A320/TB MOD/RM LAX DEPT MOD TURB THROUGH 6000  SMOOTH ABOVE 6000,,MOD,ZLA,,60000,33.93816,-118.38653
2019-02-10 04:11:00+00:00,F,C425,LAX UA /OV LAX280012/TM 0411/FL6500/TP C425/TB MOD TURB 6000-7000,,MOD TURB 6000-7000,ZLA,,65000,33.97289244863668,-118.62395509308293
2019-02-15 21:57:00+00:00,F,GLF4,LAX UA /OV CPM/TM 2157/FL8000/TP GLF4/TA UNK/IC LT RIM,LT RIM,,ZLA,,80000,33.88,-118.24
2019-02-17 18:57:00+00:00,F,AA5,LAX UA /OV VTU085010/TM 1857/FL6000/TP AA5/TA UNK/IC LT RIME,LT RIME,,ZLA,,60000,34.13452713372831,-118.8494286728981
2019-02-17 19:13:00+00:00,F,B737,LAX UA /OV LAX250008/TM 1913/FL4500/TP B737/RM BASE 4500 TOPS 6500,,,ZLA,,45000,33.892553620402005,-118.53756225800636
2019-02-22 17:14:00+00:00,F,PC12,LAX UA /OV SMO265005/TM 1714/FL5000/TP PC12/TB MOD,,MOD,ZLA,,50000,34.01373643313585,-118.54724854183972
2019-03-01 03:34:00+00:00,F,B752,LAX UA /OV LAX250005/TM 0334/FL800/TP B752/RM BASE 800 TOPS 2000,,,ZLA,,80000,33.909656012751256,-118.48092516125398
2019-03-01 03:55:00+00:00,F,A319,LAX UA /OV LAX250005/TM 0355/FL600/TP A319/RM BASES 600 TOPS 1500,,,ZLA,,60000,33.909656012751256,-118.48092516125398
2019-03-01 15:25:00+00:00,F,A319,LAX UA /OV LAX250003/TM 1525/FL700/TP A319/RM BASE 700 TOPS 1900,,,ZLA,,70000,33.92105760765075,-118.4431670967524
2019-03-02 15:23:00+00:00,F,PC12,BUR UA /OV BUR 15N/TM 1523/FL7500/TP PC12/SK BKN010 OVC015/WX 8/TB MOD,,MOD,ZLA,,75000,34.20067,-118.35867
2019-03-03 15:11:00+00:00,F,CRJ7,LAX UA /OV LAX250008/TM 1511/FL800/TP CRJ7/RM BASES 800 TOPS 4500,,,ZLA,,80000,33.892553620402005,-118.53756225800636
2019-03-03 16:42:00+00:00,F,B763,LAX UA /OV LAX250005/TM 1642/FL4300/TP B763/RM TOPS 4300,,,ZLA,,43000,33.909656012751256,-118.48092516125398
2019-03-07 02:25:00+00:00,F,A330,LAX UA /OV LAX/TM 0225/FL800/TP A330/RM BASE 800,,,ZLA,,80000,33.93816,-118.38653
2019-03-20 21:45:00+00:00,F,BE20,LAX UA /OV LAX090005/TM 2145/FL8000/TP BE20/TA M03/IC LT CLR,LT CLR,,ZLA,,80000,33.93816,-118.28607676756424
2019-03-21 23:44:00+00:00,F,M20P,LAX UA /OV EMT210005/TM 2344/FL9000/TP M20P/TA M08/IC LT RM,LT RM,,ZLA,,90000,34.01382537067398,-118.08531414818373
2019-04-21 02:58:00+00:00,F,A321,LAX UA /OV LAX250012/TM 0258/FL5000/TP A321/RM TOPS FOR LAX DEPARTURES AT 5000,,,ZLA,,50000,33.869750430603005,-118.61307838700957
2019-05-08 22:22:00+00:00,F,B737,LAX UA /OV LAX251005/TM 2222/FL4500/TP B737/RM TOPS 4500,,,ZLA,,45000,33.911027122874664,-118.481510397247
2019-05-09 22:07:00+00:00,F,SR22,LAX UA /OV KTOA/TM 2207/FL4300/TP SR22/RM BASE 4300 TOPS 5200,,,ZLA,,43000,33.80339,-118.33961
2019-05-22 21:14:00+00:00,F,SF50,LAX UA /OV LAX050015/TM 2114/FL9000/TP SF50/TA M04/IC LT RIME,LT RIME,,ZLA,,90000,34.09886991888375,-118.15567507849772
2019-07-07 03:50:00+00:00,F,B787,LAX UA /OV RY24R FINAL/TM 0350/FL800/TP B787,,,ZLA,,80000,33.93816,-118.38653
2019-08-05 13:55:00+00:00,F,E75L,KLAX UA /OV KLAX/TM 1355/FL600'/TP E75L/SK OVC/RM RY25L TOPS 1000 BASES 600,,,ZLA,,60000,33.93816,-118.38653
2019-09-08 08:53:00+00:00,F,B737,LAX UA /OV FILMORE VORTAC/TM 0853/FL8000/TP B737/SK CLR /TB MOD,,MOD,ZLA,,80000,33.93816,-118.38653
2019-09-15 16:10:00+00:00,T,B737,KLAX UUA /OV KLAX/TM 1610/FL950/TP B737/SK TOPS 1000 BASES 450 ON FINAL RWY25L,,,ZLA,,95000,33.93816,-118.38653
2019-10-20 16:47:00+00:00,T,BE23,LAX UUA /OV VTU100014/TM 1647/FL6000/TP BE23/TB SEV BLO 6000/RM UNABLE TO MAINTAIN ALT AT FULL POWER OVER PT DUME AREA . OFFSHORE SEV BLO 3500,,SEV BLO 6000,ZLA,,60000,34.07947880992388,-118.7724098083674
2019-11-12 16:19:00+00:00,F,A320,LAX UA /OV RY24R/TM 1619/FL500/TP A320/SK OVC,,,ZLA,,50000,33.93816,-118.38653
2019-11-18 17:20:00+00:00,F,B737,LAX UA /OV RY24R/TM 1720/FL500F/TP B737/WV 50KNT TAIL WIND,,,ZLA,,50000,33.93816,-118.38653
2019-11-29 21:00:00+00:00,F,E175,LAX UA /OV LAX 208005/TM 2100/FL8000/TP E175/TA -8/IC LIGHT RIME,LIGHT RIME,,ZLA,,80000,33.86457507402621,-118.43368993601852
2019-11-30 00:34:00+00:00,F,C565,BUR UA /OV VNY36013/TM 0034/FL7000/TP C565/TA -1/IC LT RIME,LT RIME,,ZLA,,70000,34.20972,-118.48917
2019-11-30 00:42:00+00:00,F,SR22,VNY UA /OV 36012/TM 0042/FL8000/TP SR22/TA -4/IC LT MIXED,LT MIXED,,ZLA,,80000,34.20972,-118.48917
2019-12-08 18:41:00+00:00,F,P06T,LAX UA /OV TOA/TM 1841/FL800/TP P06T/RM BASE 800FT TOPS 1800,,,ZLA,,80000,33.80339,-118.33961
2019-12-15 18:20:00+00:00,F,B757,LAX UA /OV RWY24R/TM 1820/FL700/TP B757/RM 10 KNOT LOSS AT 700FT LANDING RWY24R.,,,ZLA,,70000,33.93816,-118.38653
2019-12-15 18:20:00+00:00,F,B757,LAX UA /OV RWY24R/TM 1820/FL700/TP B757/RM 10 KNOT LOSS AT 700FT LANDING RWY24R,,,ZLA,,70000,33.93816,-118.38653
2020-01-21 14:00:00+00:00,F,A388,LAX UA /OV LAX072010/TM 1400/FL5000/TP A388/RM TOPS:5000;BASES:3600,,,ZLA,,50000,33.98966700412942,-118.1954565974181
2020-01-29 20:30:00+00:00,F,GLF4,LAX UA /OV LAX/TM 2030/FL6000/TP GLF4/TB MODERATE @ 4 000; LIGHT @ 5 000; MODERATE @ 6 000,,MODERATE @ 4 000; LIGHT @ 5 000; MODERATE @ 6 000,ZLA,,60000,33.93816,-118.38653
2020-01-29 23:48:00+00:00,F,PA46,LAX UA /OV 10 EAST KLAX/TM 2348/FL7000/TP PA46/SK FEW150 SCT250/WX 10/TB SEVERE,,SEVERE,ZLA,,70000,33.93816,-118.18562353512846
2020-02-11 00:00:00+00:00,F,PA32,BUR UA /OV BUR V459 DARTS/TM 0000/FL9000/TP PA32/SK CLR/WX 10SM/TB SEVERE,,SEVERE,ZLA,,90000,34.20067,-118.35867
2020-02-17 17:55:00+00:00,F,A320,KLAX UA /OV RWY25L/TM 1755/FL800/TP A320,,,ZLA,,80000,33.93816,-118.38653
2020-03-02 21:49:00+00:00,F,C210,LAX UA /OV LAX070012/TM 2149/FL9000/TP C210/WV UDD090,,,ZLA,,90000,34.006569569397,-118.15998161299044
2020-03-17 00:47:00+00:00,F,B737,BUR UA /OV 10 WEST OF SILEX BUR VICINITY/TM 0047/FL9000/TP B737/TA -13/IC RIME/RM ICING 30 MILES AROUND THE VICINITY OF BUR 9000 TO 11000,RIME,,ZLA,,90000,34.20067,-118.35867
2020-04-10 21:46:00+00:00,F,A321,KLAX UA /OV KLAX/TM 2146/FL5000/TP A321/RM BASES 5000  TOPS 8000 OVER LAX.,,,ZLA,,50000,33.93816,-118.38653
2020-04-10 21:46:00+00:00,F,A321,KLAX UA /OV KLAX/TM 2146/FL5000/TP A321/RM BASES 5000  TOPS 8000 OVER LAX,,,ZLA,,50000,33.93816,-118.38653
2020-04-13 09:05:00+00:00,F,B763,LAX UA /OV LAX/TM 0905/FL6500/TP B763/SK TOPS 060/RM NO ICING,,,ZLA,,65000,33.93816,-118.38653
2020-04-13 11:28:00+00:00,F,MD11,LAX UA /OV LAX/TM 1128/FL7100/TP MD11/SK BASES 015 TOPS 070,,,ZLA,,71000,33.93816,-118.38653
2020-04-29 15:17:00+00:00,F,737,KLAX UA /OV 1/2 MILE W/TM 1517/FL500/TP 737/SK BASES 500 TOPS 1500,,,ZLA,,50000,33.93816,-118.38653
2020-05-24 23:05:00+00:00,F,B737,VNY UA /OV VNY/TM 2305/FL4500/TP B737/RM ORANGE DRONE ACTIVITY @ 4500,,,ZLA,,45000,34.20972,-118.48917
2020-06-24 13:35:00+00:00,F,DC10,KLAX UA /OV KLAX/TM 1335/FL800/TP DC10/RM SKY CONDITION LANDING RWY25L : TOPS 020; BASE 008,,,ZLA,,80000,33.93816,-118.38653
2020-07-06 13:05:00+00:00,F,BE9L,LAX UA /OV 1 MILE OFF DEPARTURE END/TM 1305/FL600/TP BE9L,,,ZLA,,60000,33.93816,-118.38653
2020-07-06 13:53:00+00:00,F,B737,LAX UA /OV 1 MILE TO THE WEST/TM 1353/FL700/TP B737,,,ZLA,,70000,33.93816,-118.38653
2020-09-23 15:17:00+00:00,F,B739,KLAX UA /OV KLAX/TM 1517/FL700/TP B739/RM TOPS 1000 BASES 700,,,ZLA,,70000,33.93816,-118.38653
2020-11-08 13:47:00+00:00,F,B789,LAX UA /OV LAX/TM 1347/FL6500/TP B789/SK TOPS 6500/RM TOPS 6500,,,ZLA,,65000,33.93816,-118.38653
2020-12-15 20:18:00+00:00,F,SF50,LAX UA /OV LADYJ/TM 2018/FL8000/TP SF50/TB MOD,,MOD,ZLA,,80000,33.93816,-118.38653
2021-01-08 01:10:00+00:00,F,A306,VNY UA /OV VNY/TM 0110/FL5000/TP A306/TB MOD,,MOD,ZLA,,50000,34.20972,-118.48917
2021-01-14 19:25:00+00:00,F,H25B,BUR UA /OV 10 MILES WEST OF VNY/TM 1925/FL5000/TP H25B/SK CLR/WX 10 MILES/TB MODERATE,,MODERATE,ZLA,,50000,34.20067,-118.35867
2021-01-19 16:30:00+00:00,F,B737,BUR UA /OV VNY 20 MILE RADIUS/TM 1630/FL8000/TP B737/TB MODERATE/RM MODERATE TURBULENCE 20 MILES IN THE VICINITY OF VNY AND BUR FROM 3000FT TO 9000 FT,,MODERATE,ZLA,,80000,34.20972,-118.48917
2021-01-20 18:20:00+00:00,F,GLF4,VNY UA /OV 20SM NORTH VNY/TM 1820/FL8000/TP GLF4/TB MOD,,MOD,ZLA,,80000,34.20972,-118.48917
2021-01-23 23:30:00+00:00,F,C172,VNY UA /OV VNY 7NW /TM 2330/FL5000/TP C172/SK BKN033/TA M01/IC LGT RIME,LGT RIME,,ZLA,,50000,34.20972,-118.48917
2021-01-29 04:00:00+00:00,F,CRJ2,LAX UA /OV LAX260006/TM 0400/FL5000/TP CRJ2/TB MOD/RM BASE 1000FT,,MOD,ZLA,,50000,33.920793775681666,-118.50524254654144
2021-02-14 01:00:00+00:00,F,CL35,VNY UA /OV VNY 14N/TM 0100/FL7000/TP CL35/SK BKN060/WX 10/WV 36016G21/TB MOD SEV,,MOD SEV,ZLA,,70000,34.20972,-118.48917
2021-02-14 08:13:00+00:00,F,SR22,EMT UA /OV EMT 2W/TM 0813/FL8000/TP SR22/SK SKC/WX 10/WV 23008G15/TB MOD SEV,,MOD SEV,ZLA,,80000,34.086,-118.035
2021-02-15 16:33:00+00:00,F,B737,VNY UA /OV VNY/TM 1633/FL8000/TP B737/TB MODERATE TURBULENCE/RM MOD TURB 8000-12000 2 SE VNY,,MODERATE TURBULENCE,ZLA,,80000,34.20972,-118.48917
2021-02-16 01:15:00+00:00,F,C550,SNA UA /OV 10 NE AVX/TM 0115/FL7000/TP C550/RM MODERAT TURBULENCE 7000-105000,,,ZLA,,70000,33.52286067614885,-118.27464564286142
