report,turbulence
NTD UA /OV SMO259019/TM 1545/FL050/TP B737/TB LGT OCNL MOD/RM OV WAKER. COR SA-ID AND LOCTN AND TURB. ZLA CWSU,LGT OCNL MOD
BUR UA /OV BUR 2NW/TM 1545/FL060/TP E75L/TB LT-MOD/RM DURC RWY 33 BUR LT-MOD THROUGH 060,LT-MOD
KLAX UA /OV WAKER/TM 1545/FL050/TP B737/TB LIGHT; OCCASIONAL MODERATE,LIGHT; OCCASIONAL MODERATE
BUR UA /OV BUR315002/TM 1545/FL060/TP E75L/TB LGT-MOD SFC-060/RM DURC RWY 33. COR TURB. ZLA CWSU,LGT-MOD SFC-060
BUR UA /OV VNY340010/TM 1625/FL060/TP B737/TB MOD,MOD
LAX UA /OV LAX050010/TM 1630/FL075/TP B738/TB MOD TURB AOB 075/RM WIND SHEAR TO -20 KTS,MOD TURB AOB 075
LAX UA /OV LAX/TM 1635/FL070/TP B739/TB MOD/RM -20 KT LOSS,MOD
BUR UA /OV VNY340005/TM 1655/FL065/TP GA7C/TB CONS MOD AOB 065,CONS MOD AOB 065
VNY UA /OV VNY/TM 1700/FL065/TP GLF6/TB MOD/RM NEWHALL PASS DEPARTURE DURC UP TO 065,MOD
SLI UA /OV LGB/TM 1730/FL040/TP CL35/SK SKC/WX 10/TB MOD TURB/RM ON CLIMB OUT,MOD TURB
BUR UUA /OV VNY/TM 1741/FL050/TP B737/TB SEV,SEV
VNY UUA /OV VNY/TM 1741/FL050/TP B737/TB SEV/RM COR SA-ID. ZLA CWSU,SEV
CKB UA /OV BURGS/TM 1755/FL070/TP BE20/TA -18/IC LIGHT RIME,
KLAX UA /OV WHDDN/TM 1815/FL160/TP B737/TB WIND SHEAR +40 KNOTS/RM WIND SHEAR +40 KNOTS,WIND SHEAR +40 KNOTS
EMT UA /OV EMT360002/TM 1855/FL012/TP C182/TB NEG,NEG
KLAX UA /OV 10 MILE FINAL/TM 1915/FL020/TP A21N/RM LAYER OF FU 020,
BUR UA /OV LAX060015/TM 1920/FL110/TP B7,
